HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
61,Animalia,Chordata,Amphibia,Anura,Hylidae,Hypsiboas,rosenbergi,Rosenberg's treefrog,0,0,0,0,775,0,0,0,0,0,0,0,0,unknown,small,low,0,0,0,0,0,485749
62,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog,0,0,0,0,1100,0,0,0,0,0,0,20,451,captivity,large,acceptable,0,0,0,0,0,451749
63,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255,120,1,0,1500,0,0,0,0,0,0,12.9,451,captivity,medium,acceptable,0,0,0,0,0,451749
64,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,vastus,Hispaniola giant treefrog,0,0,0,0,0,0,0,0,0,0,0,6.6,451,captivity,small,questionable,0,0,0,0,0,451
65,Animalia,Chordata,Amphibia,Anura,Hylidae,Pachymedusa,dacnicolor,Mexican leaf frog,0,0,0,0,0,0,0,0,0,0,0,8.7,451,captivity,small,acceptable,0,0,0,0,0,451
66,Animalia,Chordata,Amphibia,Anura,Hylidae,Phyllomedusa,bicolor,Waxy treefrog,0,0,0,0,0,0,0,0,0,0,0,10.3,451,captivity,medium,acceptable,0,0,0,0,0,451
67,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,crucifer,Spring peeper,912,912,10,0,700,0,0,0,0,4,0,0,0,unknown,small,low,0,0,0.00105,0.9,292,3.75E+13
68,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,paradoxa,Paradox frog,0,0,0,0,0,0,0,0,0,0,0,11,451,captivity,small,acceptable,0,0,0,0,0,451
69,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,Mexican treefrog,0,0,0,0,2480,0,0,0,0,0,0,6.3,485,captivity,small,acceptable,0,0,0,0,0,485749
70,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,fodiens,Lowland burrowing treefrog,0,0,0,0,0,0,0,0,0,0,0,5.1,485,captivity,small,acceptable,0,0,0,0,0,485
71,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,Masked treefrog,0,0,0,0,2000,0,0,0,0,0,0,4.1,485,captivity,small,acceptable,0,0,0,0,0,485749
72,Animalia,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,venulosus,Marbled treefrog,0,0,0,0,0,0,0,0,0,0,0,10.5,451,captivity,small,acceptable,0,0,0,0,0,451
73,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog,0,0,32,0,62,0,0,0,0,0,0,14,525,wild,medium,acceptable,0,0,0,0,0,525749
74,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog,0,0,0,0,0,0,0,0,0,0,0,18.8,451,captivity,medium,acceptable,0,0,0,0,0,451
75,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,0,0,14,0,40,0,0,0,0,0,0,10.9,451,captivity,large,acceptable,0,0,0,0,0,451749
76,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Blue-legged mantella,365,365,0,0,0,0,0,0,0,0,0,3,1060,wild,small,questionable,0,0,0,0,0,1060
77,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad,547,365,1,0,722,0,0,0,0,0,0,6.8,485,captivity,small,acceptable,0,0,0,0,0,485528749
78,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian narrowmouth toad,0,0,0,0,0,0,0,0,0,0,0,11,485,captivity,medium,acceptable,0,0,0,0,0,485
79,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog,547,182,0,0,0,0,0,1125,0,0,0,5,964,wild,small,acceptable,0,0,0,0,0,964
80,Animalia,Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,bifasciatus,Red-banded frog,0,0,0,0,0,0,0,0,0,0,0,10.3,451,captivity,medium,acceptable,0,0,0,0,0,451
81,Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Rainbow frog,365,365,0,0,0,0,0,0,0,0,0,2,1060,wild,small,questionable,0,0,0,0,0,1060
82,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad,0,0,8,0,1740,0,0,0,0,0,0,11,485,captivity,medium,acceptable,0,0,0,0,0,485749
83,Animalia,Chordata,Amphibia,Anura,Petropedetidae,Conraua,goliath,Goliath frog,0,0,0,0,0,0,0,0,0,0,0,5.9,451,captivity,small,acceptable,0,0,0,0,0,451749
84,Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,pipa,Surinam toad,0,0,0,0,0,0,0,0,0,0,0,7.7,485,captivity,medium,acceptable,0,0,0,0,0,485749
85,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,183,0,2,0,0,0,0,0,0,130,0,30.3,451,captivity,large,acceptable,0,0,0.012,63.6,288,1.04E+22
86,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,African bullfrog,0,0,0,0,0,0,0,0,0,0,0,45,451,captivity,medium,acceptable,0,0,0,0,0,451749
87,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Tomopterna,delalandii,Cape sand frog,0,0,0,0,0,0,0,0,0,0,0,11.3,451,captivity,small,acceptable,0,0,0,0,0,451
88,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,1277,730,4,0,0,0,0,0,0,54.4,0,16,485,captivity,medium,acceptable,0,0,0.0134,51.2,288,2.37E+14
89,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green frog,730,730,0,0,4000,0,0,0,0,0,0,10,528,captivity,medium,acceptable,0,0,0,0,0,528749
90,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,730,365,0,0,4146,0,0,0,0,29.0222,0,9,525,wild,medium,acceptable,0,0,0.00576,21.6,289.78,3.74E+15
91,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink frog,730,547,0,0,2250,0,0,0,0,0,0,6,528,wild,medium,acceptable,0,0,0,0,0,528749
92,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood frog,912,547,0,0,900,0,0,0,0,7.88,0,5,0,unknown,medium,questionable,0,0,0.00416,7.8,289.8,3.74E+15
93,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter frog,0,730,0,0,0,0,0,0,0,0,0,6.2,485,captivity,small,acceptable,0,0,0,0,0,485749
94,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,lessonae,Pool frog,0,0,0,0,2420,0,0,0,0,0,0,6,525,wild,medium,acceptable,0,0,0,0,0,525749
95,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog,730,730,0,0,2800,0,0,0,0,0,0,15,651,wild,medium,acceptable,0,0,0,0,0,651749
96,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog,912,912,6,0,0,0,0,0,0,0,0,6.8,650,captivity,small,acceptable,0,0,0,0,0,525650749
97,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh frog,1460,1095,0,0,6835,0,0,0,0,0,0,11,525,wild,medium,acceptable,0,0,0,0,0,525749895
98,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian wood frog,1640,1640,0,0,2125,0,0,0,0,0,0,9,525,wild,medium,acceptable,0,0,0,0,0,525749
99,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,arvalis,Moor frog,0,0,0,0,1750,0,0,0,0,0,0,11,525,wild,medium,acceptable,0,0,0,0,0,525749
100,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,aurora,California red-legged frog,0,0,0,0,0,0,0,0,0,0,0,15,503,wild,medium,acceptable,0,0,0,0,0,5031150
101,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,esculenta,Edible frog,0,0,0,0,0,0,0,0,0,0,0,12,525,wild,medium,acceptable,0,0,0,0,0,525
102,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,iberica,Iberian frog,0,0,0,0,318,0,0,0,0,0,0,8,525,wild,medium,acceptable,0,0,0,0,0,525749
103,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged wood frog,912,912,0,0,2040,0,0,0,0,0,0,5,525,wild,medium,acceptable,0,0,0,0,0,525749
104,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European frog,1095,1095,0,0,2585,0,0,0,0,0,0,27,0,unknown,medium,acceptable,0,0,0,0,0,2.55E+14
105,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,Couch's spadefoot,0,0,0,0,3000,0,0,0,0,0,0,6.7,485,captivity,small,questionable,0,0,0,0,0,458485749
106,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern spadefoot,730,730,8,0,3872,0,0,0,0,0,0,12.3,485,captivity,small,acceptable,0,0,0,0,0,485528749
107,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot,0,0,3,0,676,0,0,0,0,0,0,20,437,wild,medium,acceptable,0,0,0,0,0,437749
108,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Northwestern salamander,730,730,0,0,150,0,0,0,0,0,0,10.2,485,captivity,small,acceptable,0,0,0,0,0,485749
109,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mabeei,Mabee's salamander,0,0,0,0,0,0,0,0,0,0,0,8.8,485,captivity,small,acceptable,0,0,0,0,0,485
110,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed salamander,730,730,40,0,250,0,0,0,0,0,0,10,437,wild,medium,acceptable,0,0,0,0,0,437749
111,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,1095,730,0,0,125,0,0,0,0,12.84,0,32,0,unknown,medium,acceptable,0,0,0.005,12.8,290,37528749
112,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl,548,548,18,0,0,0,0,0,0,0,0,17,451,captivity,large,acceptable,0,0,0,0,0,4.49E+14
113,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,1296,1113,0,0,100,0,0,0,0,0,0,11.3,485,captivity,small,acceptable,0,0,0,0,0,485528749
114,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,rosaceum,Chihuahuan mole salamander,0,0,0,0,0,0,0,0,0,0,0,14.4,451,captivity,small,acceptable,0,0,0,0,0,451
115,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,Mole salamander,730,730,0,0,350,0,0,0,0,0,0,9,749,unknown,medium,acceptable,0,0,0,0,0,528749
116,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,texanum,Small-mouthed salamander,0,0,35,0,625,0,0,0,0,0,0,13.8,485,captivity,tiny,acceptable,0,0,0,0,0,485749
117,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,1460,1460,28,0,37,0,0,0,0,9.402,0,25,485,captivity,medium,acceptable,0,0,0.00196,3.21,291,2.74E+13
118,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,California giant salamander,0,0,150,0,85,0,0,0,0,0,0,16.9,451,captivity,tiny,acceptable,0,0,0,0,0,451749
119,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,1460,1095,150,0,200,0,0,0,0,200.967,0,27,485,captivity,small,acceptable,0,0,0.00904,199,288,37485749
